country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Suriname,South America,9581,187.0,8829,565,14.0,16217,317.0,47424.0,80269.0,590812
Swaziland,Africa,18417,671.0,17712,34,3.0,15745,574.0,178676.0,152752.0,1169712
Sweden,Europe,900138,13788.0,735793,150557,391.0,88689,1359.0,7847033.0,773153.0,10149393
Switzerland,Europe,632399,10508.0,568416,53475,235.0,72648,1207.0,6538153.0,751082.0,8704984
Syria,Asia,21142,1446.0,14841,4855,,1185,81.0,103566.0,5806.0,17836656
Taiwan,Asia,1076,11.0,1034,31,,45,,513203.0,21517.0,23851142
Tajikistan,Asia,13308,90.0,13218,0,,1371,9.0,,,9707083
Tanzania,Africa,509,21.0,183,305,7.0,8,,,,61076544
Thailand,Asia,43742,104.0,28787,14851,1.0,625,1.0,8124896.0,116170.0,69939581
Timor Leste,Asia,1306,2.0,665,639,,976,1.0,55958.0,41812.0,1338335
Togo,Africa,12533,119.0,10208,2206,,1486,14.0,300239.0,35607.0,8432128
Trinidad And Tobago,North America,8940,153.0,7940,847,8.0,6372,109.0,120513.0,85891.0,1403099
Tunisia,Africa,285490,9783.0,234791,40916,486.0,23957,821.0,1228086.0,103054.0,11916907
Turkey,Asia,4268447,35926.0,3687590,544931,3275.0,50181,422.0,43768759.0,514562.0,85060273
Turks And Caicos Islands,North America,2369,17.0,2291,61,2.0,60537,434.0,45274.0,1156926.0,39133
Uganda,Africa,41378,338.0,40898,142,24.0,883,7.0,986829.0,21050.0,46879156
UK,Europe,4387820,127270.0,4150568,109982,332.0,64366,1867.0,140944028.0,2067538.0,68169978
Ukraine,Europe,1946510,39786.0,1482079,424645,177.0,44723,914.0,8915393.0,204840.0,43523764
United Arab Emirates,Asia,497154,1554.0,479566,16034,,49788,156.0,41767180.0,4182859.0,9985318
Uruguay,South America,164744,1908.0,132917,29919,517.0,47295,548.0,1630582.0,468111.0,3483322
